id,text,course,teacher,label,source_label
22,"I would give this lecture a three because it is a very independent and useful course, but I feel like the presentation skills could have been improved upon and found the information very dry. I really liked the intent and where she was going.It was easy to follow and complete, although there was something missing for me.",Coursera Online Course,Coursera Instructor,neutral,1
23,"The final assignment is impossible to finish since I have 10.4 version in my computer. You, as the course provider, should modify the assignment instead of asking the student to make changes. The point is that we are trying to gain some knowledge, not wasting time on solving those bugs.",Coursera Online Course,Coursera Instructor,negative,0
24,Boring Professor,Coursera Online Course,Coursera Instructor,negative,0
25,The app is neat but too short.,Coursera Online Course,Coursera Instructor,neutral,1
26,"I have taken several MOOCs from several Universities and think that the Dutch ones (Universiteit Amsterdam & Universiteit Leiden) are amongst the best. I used to live in Leiden so I must confess as little personal bias, but what I really applaud is the way that the instructors actively encourage you to find out more than what's just required to obtain a pass mark. I think I'm now quite an expert on Volcanoes!",Coursera Online Course,Coursera Instructor,positive,2
27,The first three weeks of this course is ok. The last assignment is very poorly structured with uninformative instructions.,Coursera Online Course,Coursera Instructor,negative,0
28,"Some of the ideas discussed are useful & new to me like linear programming and what-if analysis. The content is more suited to this specialization context instead of teaching excel in general so in case you are looking to learn excel, this is not a great course. I didn't like the quizzes, most of the questions added no value. My suggestion to the instructors would be less questions on the quizzes and more relevant to what you teach. I wouldn't complete the course if it wasn't a part of the specialization that I am attending.",Coursera Online Course,Coursera Instructor,negative,0
29,"Although Parham Aarabi is listed as the professor throughout this specialization, it's a bit of a bait-and-switch. Prof Aarabi is an award-winning professor at U of Toronto, but it turns out he knows little about iOS and has Jack Wu teach most of the material. Jack Wu is probably a heck of a developer but he's a terrible instructor. This class is the best of the three in the specialization because Mike Spears does a pretty good job with the sections he teaches.",Coursera Online Course,Coursera Instructor,neutral,1
30,Should state up front that there is no auditing. Unable to continue this course without Upgrading.,Coursera Online Course,Coursera Instructor,negative,0
31,Should letting us do more programming stuff.,Coursera Online Course,Coursera Instructor,positive,2
32,"Should have talked about how German and other European industries used forced labour for their benefit. Siemens is still involved in lawsuits about this and is on the news now.Please also talk about IBM's involvement in helping Nazi's with punch cards to help organise the millions of jews and other races they murderedArt theft is something thats really interesting that was not touched upon. THe german govt is now providing subsidies to art owners who wish to examine the provenance of the art they own so that it can be returned to the heirs of the rightful ownersInvolvement of Swiss (while being neutral) in banking and financial support to Nazis and exploitation of Jews is something that missing here. Numbered accounts were created to help jews send their money abroad without being detected, but their heirs could never get the money back",Coursera Online Course,Coursera Instructor,neutral,1
33,"The course was a very efficient intro to using Python to get data from various simple sources and the different structures that can be used to hold and manipulate the data. The course starts with the intuitive methods to solve problems and then introduces more complex and process friendly alternatives to demonstrate how creativity and knowledge of Python can be used to generate elegant and efficient code. The auto-grading of assignments can be a little maddening as the correct answer needs to be formatted precisely as is expected or else it will be counted as incorrect. The good thing here is that it forces you to fully understand the data types and data, the bad is it can be frustrating not knowing if the answer is wrong or just the format of the answer. Admittedly, I feel this effort forced me to become a better Python programmer.",Coursera Online Course,Coursera Instructor,positive,2
34,Very professionally presented. If I had the money I would enroll in the Master program!,Coursera Online Course,Coursera Instructor,positive,2
35,"Very basic, the 'hands on' exercises are not very hands on and do not actually add much value",Coursera Online Course,Coursera Instructor,negative,0
36,Good and clear content. A bit from an American point of view... I missed some in depth explanation (like the class of the nerv-system or the Glycemic index). Overall easy to watch and good lessons.,Coursera Online Course,Coursera Instructor,neutral,1
37,"I enjoyed this course. It's a little easy to pass - great for someone new to Coursera and/or beginning learning, but it's interesting and offers practical real-life tasks.",Coursera Online Course,Coursera Instructor,positive,2
38,"Course material was highly relevant, and well put-together. Videos were well done.",Coursera Online Course,Coursera Instructor,positive,2
39,One of the best coursera courses that I've ever done.,Coursera Online Course,Coursera Instructor,positive,2
40,"This course was a positive surprise! Professor Hare is a really good lecturer, you can feel his energy even if it's all recorded and the course is very well structured (and does not take too much time). I'm a dog lover and owner (I have 2 dogs), but I would strongly recommend this course to anyone who is interested in extending ones common knowledge, plus, it is a very interesting topic to bring up when networking as well as a conversations starter!Thanks for an awesome course!",Coursera Online Course,Coursera Instructor,positive,2
41,very good first step to public health,Coursera Online Course,Coursera Instructor,positive,2
42,Helpful intro course. Easy to understand.,Coursera Online Course,Coursera Instructor,positive,2
43,"I enjoyed and benefitted from some of this course. In particular I would highly recommend the Meditation Labs, the Science of Meditation videos and the short presentations from the Tibetan Buddhist monks . But I think the creators of this course need to be a lot clearer about what their aims are in that part of the course which Dr Germano presented. Since this was he was presenting the main overview of Buddhist content it was particularly disappointing that his presentations were so bad.I understand that there were difficulties in getting the course up and running from the various delays in its starting date and the change to its title and perhaps Dr Germano's role was more affected than the other lecturers. However it's pretty damning when he manages to to be so off-putting to so many of the students, going on the discussion comments. For my own part, I've studied and practiced Buddhism for more than 30 years and I am left with little sense of what his aims were for his lectures.To be more specificDr Germano's Presentation:-he read from what I presume were lecture notes but more likely he was reading from an academic paper. the language was pretty turgid.-he could have just provided a PDF of his paper / notes for us to download. That would have been much more helpful as presumably it would have had some structure to it. doing that would have enabled him to use his video time in a more creative way.-MOOCs are wonderful audio-visual opportunities but he had no slides or illustrations at all. The few text headers which appeared then disappeared in only a very few seconds and sometimes did not relate directly to what he was saying at that time.Dr Germano's content: the amended title was Tibetan Buddhist Meditation. This is a complex subject which encompasses many layers of meditation practice culled from historically earlier Buddhist traditions. Can I suggest that any future version of this course includes the following:-include a video which presents the main aspects of the historical development of Buddhism. There was some mention of this in Germano's material but he did it from the Tibetan point of view. Surely what a modern day presentation needs is a modern impartial historical analysis of the subject. It's not as if there aren't plenty of academics and practitioners who are active in this field.-it's confusing to describe Tibetan Lesser Vehicle practices but then illustrate them with Pali text sources, modern Mindfulness practice, and modern Brahma Vihara practice all of which have emerged from the modern Theravadin tradition.-it's also perplexing to include information about many modern Theravadin teachers (Sayadaw, Goenka) in a course apparently not about them.Don't get me wrong, I enjoyed the videos about Sayadaw and the interview with Sharon Saltzberg, but I am left in the dark about just what differences, if any, there are between them and Tibetan meditation.Overall I think this course was offered prematurely. Much of its content was enthralling, inspiring and very useful practically. However much of it was not.",Coursera Online Course,Coursera Instructor,negative,0
44,"I would like to study this course. So, It is giving me more knowledge.",Coursera Online Course,Coursera Instructor,positive,2
45,This is an excellent course for anyone who wants to be a better learner or help students become better learners!,Coursera Online Course,Coursera Instructor,positive,2
46,Awesome course. Well presented lectures and good assignments. Looking forward to join more courses by Dr. Chuck,Coursera Online Course,Coursera Instructor,positive,2
47,Whilst I can see why the idea of reproducible research is important there was't really enough material in this course for the full four weeks - and in fact a lot of the videos repeated the same information.,Coursera Online Course,Coursera Instructor,negative,0
48,"Very nice introduction to the topic. I wish it had more ""meat"" and more exercises to develop the skills presented during the class.",Coursera Online Course,Coursera Instructor,negative,0
49,"Pros: The course content covers a lot of relevant topics on Database Management. Things like Basic SQL queries, Database Normalization, Conceptual and Logical databases, and making ER diagrams are covered in the course.Cons: Prof Mannino is a bit robotic in his reading out of long sentences and the constant pace of talking. There is tons of repetition of sentences and words mere seconds after they were just spoken. The lectures seem to be a collection of bullet points.The assignments and the peer review structure is really a low point. There's no specific grading rubric - so points allocation is random and based on your peer's assessment. I had many instances where my right answers were marked as wrong. There is nothing you can do to correct it. Moreover, the questions are iterative and thus the same apparent error carries on and you get multiple wrong scores.Assignments need to be submitted in documents. Separate documents for each question !! At times, even a one-line answer needs to be in a separate document. Pictures of database diagrams need to be pasted in said documents. It was a bit frustrating to take screenshots all the time. Especially when you make a small correction, and have to take screenshots AGAIN, then paste it AGAIN, and upload AGAIN !!Summary: Take the course for it's content, and use the assignments as good practice. Don't take the grading seriously. Also, focus on the content rather than the delivery by the professor, and you will still be able to get some value out of the course (and the specialization by extension)",Coursera Online Course,Coursera Instructor,neutral,1
50,"The class was a helpful intro to pandas. But it was not as much a class as it was a series of homework assignments and the student painstakingly looking things up on stackoverflow. In the end, i am positive I got the correct answers using a horrible coding method and will never see the correct solutions. There should be a little bit more handholding in order for the student to learn the concepts. Otherwise, I might just throw a class up on coursera, give the link to docs.python.org, tell the students to read it and then they will be experts at python.",Coursera Online Course,Coursera Instructor,negative,0
51,too redundant,Coursera Online Course,Coursera Instructor,neutral,1
52,The data document for assignment is a mess.,Coursera Online Course,Coursera Instructor,neutral,1
53,"I'll say the same about this class as the rest of the specialization, if you have the skills to complete this course then you don't need to take this course. If you don't have the skills to complete this course, you will not complete this course. The course instruction is at 10000 feet level and the assignments are very challenging and the course will NOT teach you the skills required to complete the assignments.I recommend the Machine Learning Course (from Bill's colleagues) at University of Washington. That is a course where you get some real instruction and understanding of how to complete assignments (though still very challenging).",Coursera Online Course,Coursera Instructor,negative,0
54,"Very good course even for beginner, who has to do a bit more homework to find out things that are expected to be commanded already. But after the course I can say that I already know a bit of disciplined java programming.",Coursera Online Course,Coursera Instructor,positive,2
55,"Very disappointed about this course. The topic is very interesting, for me at least, but the course organization is horrible. Lectures do not provide enough information to complete the assignments. Zero interaction from course staff. Issues with getting assignments graded. In previous session the staff just refered you to the coursera helpdesk, but you cannot easily contact coursera directly.Main focus of course seems to be earning money and not educating. Be warned and don't pay for this course!I really don't get why this course has so many good reviews.",Coursera Online Course,Coursera Instructor,negative,0
56,Too much time required. The first Quiz had almost nothing covered in the video lectures. I saved all transcripts and was unable to answer the questions. The Sim's... I have never seen anything like that and again - it most certainly wasn't covered in the lectures. Disappointed in this course. It took 3 hours for each segment of the first week... not 3 to 4 as was stated. Leaving this course.,Coursera Online Course,Coursera Instructor,negative,0
57,The coarse precisely and concisely says everything about basic epidemiology.,Coursera Online Course,Coursera Instructor,positive,2
58,Excellent for basic understanding about the Java language.,Coursera Online Course,Coursera Instructor,positive,2
59,Not so comfortable with using Excel.,Coursera Online Course,Coursera Instructor,neutral,1
60,"This Content mainly focused on Disaster Survivor's psychological support.However, I am still looking for like daily basis psychological support.For example, employees' stress, children's stress. etc.",Coursera Online Course,Coursera Instructor,positive,2
61,"At first the presentations are really on a semi professional level (copy & paste codes, making errors without knowing the cause). They show a lot what can be done with swift but the never show/mention what it's really usefull for (no ""real life"" usage just snippets after snippets).To few practical doings (mostly only quiz stuff)",Coursera Online Course,Coursera Instructor,negative,0
62,Nice introductory course and very helpful,Coursera Online Course,Coursera Instructor,positive,2
63,Very well taught. The instructors now what they are talking about.,Coursera Online Course,Coursera Instructor,positive,2
64,hiits a useful course but its too basic.Thanks,Coursera Online Course,Coursera Instructor,neutral,1
65,"The course is a well thought and masterfully set of lessons on the main principle of journalism: it talks ethics starting from maybe old concepts that surprisingly are still fitting today.Being a basic course, it is very easy to follow and finish. Quizzes are alternating between very good and very bad. Tough ethical decisions and a space to discuss them is a really great thing, but peer grading two phrases essays with only the ability of telling yes or no doesn't make for a good use of the crowdsourcing the very course is advocating.The videos seem to have been made with an indecent knowledge of the technology, especially for journalists who are supposed to use it daily; green screens were used so badly as some parts of the professors ""spark white"", and slides are often cut away and put back in view while the teacher is talking about it, which was downright infuriating.It still qualifies for a very good opening course in journalism, but needs serious improvement.",Coursera Online Course,Coursera Instructor,neutral,1
66,a bit tough and abstract but it is worth the effortreally gets you up to speed with current NN methods,Coursera Online Course,Coursera Instructor,positive,2
67,"Excellent material, even though students met several problems with the new Coursera platform. I highly recommend this course.",Coursera Online Course,Coursera Instructor,positive,2
68,"Too much focus on remembering specific details and numbers, and too little focus on broader understanding.",Coursera Online Course,Coursera Instructor,negative,0
69,This course not only motivated me to get into machine learning but also made me aware how easy it is to learn online.,Coursera Online Course,Coursera Instructor,positive,2
70,"The accent of this teacher made me struggle to comprehend some of the most basic concepts she was presenting. I learned way much more on the previous modules of this specialization.The course should be 2/5 stars, but thanks to Boston and McKenzie articles, I will give an extra one.",Coursera Online Course,Coursera Instructor,neutral,1
71,I feel content of the presentation need to improve. Second the voice quality also need some improvement it was not clear. It was looking as if some one behind the screen is just reading the slide content. Please elaborate each points mentioned in the slide. In some slides the end content was skipped.Better would be if some person is always present on the screen. It grabs the attention of the listener.,Coursera Online Course,Coursera Instructor,neutral,1
72,Could go a little more in detail on the algorithms.,Coursera Online Course,Coursera Instructor,neutral,1
73,"Much better Courses are available for free on udacity and edx. this is only a money making course. concepts used are very old. nothing new in this course. One can dwell in PID controllers for life, its a huge are and the way its used here is totally ancient. its just some ancient methods in new quadcopters.",Coursera Online Course,Coursera Instructor,negative,0
74,"All in all the material, videos and assignments were very interesting and they made up an exciting course.However, some of the slides lacked sufficient information on notions or did not make references to supplementary sources. The assignment material (mainly pdfs) sometimes had typos which made solving them a bit confusing and more time consuming without actually being very difficult. Also for both slides and assignments the notations were not always consistent and/or variables disappeared from equations without clear explanations.I hope in the next offering of this course there will be improvements on these aspects.",Coursera Online Course,Coursera Instructor,neutral,1
75,"Exercises in the course were very poor, simple and did not require coding, just changing one or two lines. But topic was interisting",Coursera Online Course,Coursera Instructor,neutral,1
76,"Drink everytime the lecturer said ""Google"" without reason. You won't make it 5 minutes.The content of the lecture can be shorter, too much commercials in the lecture. The questions don't echo what was in the lecture (vs AWS for example).",Coursera Online Course,Coursera Instructor,negative,0
77,Love the clarity of the instructors deliver which is supported by great explanations and most importantly visual aids & demonstrations.,Coursera Online Course,Coursera Instructor,positive,2
78,Instructors are amazing and the course is not overwhelming at all.,Coursera Online Course,Coursera Instructor,positive,2
79,"I really enjoyed the overall materials and especially loved the way they split the course into two sections:Theory and Programming.However, i wish they were using more standard packages such as pandas, or skit-learn instead of graphlab. It was a good class to taste what is going on in the world of ML.",Coursera Online Course,Coursera Instructor,positive,2
80,No practical knowledge learnd and no clear examples of the topics. Too complex all the course,Coursera Online Course,Coursera Instructor,negative,0
81,"Interesting material and good teacher but very poor use of the media (an audio file would have been sufficient for most lectures) and low quality recording for some lectures (background noises, echos, wind...)",Coursera Online Course,Coursera Instructor,neutral,1
82,Great ideas to improve the technical knowledges to scrapping web data,Coursera Online Course,Coursera Instructor,neutral,1
83,Great introduction to business. It helped me greatly preparing (without having a business background) for interviews at a large consulting firm.,Coursera Online Course,Coursera Instructor,positive,2
84,"It's ok. Bushee is very knowledgeable and a very enthusiastic teacher, but his lessons are too dense compared to the content in the rest of the Wharton BA programs. I actually like all the detail, but I think it's covered too quickly and the course should probably be made longer to deal with it all. There are ratios and balance sheet jargon just flying at you at a breathless pace. It would be better to focus on a few key ones and then walk through the examples a little more slowly. The quizzes were extremely tricky with too many choose more than one answers. It was difficult to find the parts of the video to review missed questions because 1) the transcripts are machine generated and make it difficult to search specific words and 2) it's difficult to remember where the concept was covered because there was so much in each video.The last week felt very disconnected from the first week and like it belonged in a different course almost. It was pretty good, though. I liked how it contained specific examples and charts.",Coursera Online Course,Coursera Instructor,neutral,1
85,Great Course. Well paced. Learned a lot !,Coursera Online Course,Coursera Instructor,positive,2
86,"Very well conducted for a beginner, but some lectures seems too long to convey a simple concept.",Coursera Online Course,Coursera Instructor,neutral,1
87,"It's ok; worth your time if you are trying to get into philosophy and want part of the proper foundation. Overall I enjoyed it and it was good as a hand-hold through the pre-Socratics and some of the most essential Platonic writings.Pros: the videos are pretty easy to understand, and the material chosen/covered is good to know.Cons: the video quiz questions are really...dull...and there are too many. A downside of the ease of the videos/lectures is that they don't really go that in depth, and they're nowhere near the quality I've seen in other Coursera courses (like the Kierkegaard course from UCopenhagen).",Coursera Online Course,Coursera Instructor,neutral,1
88,It's very useful to learn how excel able to handle different mathematical models,Coursera Online Course,Coursera Instructor,positive,2
89,"Great course! The videos are fun, and I received a lot of great feedback from my fellow classmates.",Coursera Online Course,Coursera Instructor,positive,2
90,Learning how to learn has never been easier and more fun! This course is an invaluable aid to learn ANYTHING. It provides 'know-how' and confidence in your ability to master any subject matter. The techniques provided to deal with procrastination have significantly impacted my life. I am grateful to Coursera and to instructors Terrence Sejnowsi and especially Barbara Oakley for making learning such a pleasure. Thank you!,Coursera Online Course,Coursera Instructor,positive,2
91,"A good foundation course. I believe the information regarding tools and techniques could've been presented in a better manner by working on live files and displaying it. It was monotonous. Apart from the rest, the final course case studies were brilliant and helped us to collaborate our understanding of the course.",Coursera Online Course,Coursera Instructor,neutral,1
92,"Pretty Simple stuff - but would've been better if there was actually something we worked on in a group, or an actual project to 'plan' or gantt chart to create.",Coursera Online Course,Coursera Instructor,neutral,1
93,Great hands on examples! Really enjoyed the Neo4j and GraphX Hands On,Coursera Online Course,Coursera Instructor,positive,2
94,"I really enjoyed the first two weeks. When it came to JavaScript I couldn't follow, so much information was missing and lessons were not clear anymore. I understand that the goal was to teach the most in a short time but this was not the right approach.",Coursera Online Course,Coursera Instructor,negative,0
95,A superb in depth study!,Coursera Online Course,Coursera Instructor,positive,2
96,Dr. Chuck is awesome!,Coursera Online Course,Coursera Instructor,positive,2
97,"Went in a slow pace. Enjoyed the modules, especially final assignment.",Coursera Online Course,Coursera Instructor,neutral,1
98,"the ""practical"" part is not really existent",Coursera Online Course,Coursera Instructor,neutral,1
99,"My background is in software development, so I know a thing or two about writing code. I'm about halfway through the course, and I'm really struck by two things:",Coursera Online Course,Coursera Instructor,negative,0
100,"Cloud Computing and CDN courses were perfect. However, Big Data details was not very clear to me, the general idea was clear though.",Coursera Online Course,Coursera Instructor,positive,2
101,10/10 would program again,Coursera Online Course,Coursera Instructor,negative,0
102,"Last assignment is a big jump, but i like it so very much",Coursera Online Course,Coursera Instructor,positive,2
103,"excellent course, helpful guiding and explanations, as well as suprisingly funny - Dr chuck is halrious",Coursera Online Course,Coursera Instructor,positive,2
104,Maybe too easy.,Coursera Online Course,Coursera Instructor,neutral,1
105,"As a manager in an IT consultancy, I can't justify sending my personnel through this course, even at $69 per course. The amount of information gained is very thin and does not move one toward being productive.",Coursera Online Course,Coursera Instructor,negative,0
106,1-week does not seem enough for a Crash Course,Coursera Online Course,Coursera Instructor,negative,0
107,"It is a good course, but the quiz/exercises are very difficult, and sometimes, unrelated to the topics",Coursera Online Course,Coursera Instructor,neutral,1
108,"Very useful course! But it is not challenging enough. My advice: more challenging assignments to be given, and do not give too many detailed steps or instructions in the assignments. Let students themselves to solve the algorithms. Overall, this course is very useful and I like the lectures of Robert the most! His logic is extremely well explained.",Coursera Online Course,Coursera Instructor,positive,2
109,"The course contains some interesting insights on writing a scientific paper. What I like about the course is that it is given by graduate students. But this is also a drawback. Sometimes, the material seems too simplistic.",Coursera Online Course,Coursera Instructor,neutral,1
110,"Enjoyable, thank you !",Coursera Online Course,Coursera Instructor,positive,2
111,It is no that perfect.The instructor focus on explaining what the code do instead of implementing it in the same video.I think the only downside is that he prepare his code and we can't implement the code at the same time because it is already given,Coursera Online Course,Coursera Instructor,neutral,1
112,"This course needs major improvement. Lectures included errors in the code. While showing code in video lectures instructor was quick to delete code, not giving time for students to view and understand what had just been shown.On Dec 15, two weeks before due date of final project, large portions of all weeks of the course were changed, requiring going back through to complete these new lectures. No adjustment was made to the due date.Requirements for the final project are vague and confusing and I am not able to submit the final project by the due date in about 2 hours. If this issue is not addressed I will need to consider adjusting my star rating.This experience casts a negative impression for me on the Coursera platform and University of Toronto teaching staff.I'm disappointed.",Coursera Online Course,Coursera Instructor,negative,0
113,This was an excellent class taught by a wonderful professor. Professor Adams needs to do a follow-up to this class in the future that expands on subjects taught.,Coursera Online Course,Coursera Instructor,positive,2
114,not upto the mark.Not meant for intelligent students,Coursera Online Course,Coursera Instructor,negative,0
115,The pronunciation of the lector was more than awful! His English is quite unsuitable for video lectures! It was just a torture listening to him!,Coursera Online Course,Coursera Instructor,negative,0
116,For a beginner like me its totally going over the head. I mean i get the logic but if you guys can please give more code...I am learning data structures for the first time and it is bit difficult for me to grasp it all and write codes in a week...,Coursera Online Course,Coursera Instructor,neutral,1
117,"Interesting learning course. You need to stick to follow the videos (may seem a tedious by moment). Overall, a good average course.",Coursera Online Course,Coursera Instructor,neutral,1
118,"I was really disappointed with this course. I took the other courses from Brian Caffo and truly enjoyed them. For the previous courses, I've always used the books and they helped me tremendously to be able to comprehend the material. There is a book for Regression Models but but it's a real mess. It feels like a draft that no one cared to take a second look. There is a bunch of wrong code and typos. The explanation doesn't go as far as it should. I had to resort to many different sources just to be able to get by the course. I hope the instructors review this course soon because it does not have the same quality as others. If they don't review it, don't bother paying for it. Try learning Regression Models elsewhere.",Coursera Online Course,Coursera Instructor,negative,0
119,"This has been a wonderful course. It not only equips one with financial knowledge for the corporate world but on a personal level. I believe that through this course, I have placed in a better position to make sound investment decisions. The course is worth repeating",Coursera Online Course,Coursera Instructor,neutral,1
120,So basically it cuts off. It's like it gives you part of the information and then drops off. They also speed through it much like my old math teacher in college whcih caused 73% of the class to drop. Now I'm in them mist of it Paid for blue host. Paid for my web name and it looks like I'm going to have to pay someone to finish it. So bascially what I got was a bunch of added on expenses and still no web site. I would not recommend this course.,Coursera Online Course,Coursera Instructor,negative,0
121,Great Course! The teachers are very nice and patient. It is very friendly to students with little experience.,Coursera Online Course,Coursera Instructor,positive,2
122,Good vibe but way too easy.... even for beginners! I am no beginner but I finished the whole thing in less than an hour.... Not much learned,Coursera Online Course,Coursera Instructor,neutral,1
123,"It's a good course, In the last lesson miss more examples.",Coursera Online Course,Coursera Instructor,neutral,1
124,"I was somewhat disappointed in this course as I expected much more ""practice"". The assignments did not have you actually perform any analytics activities. The course materials seem very out of date considering how much things change in the digital age. Reading Blogger posts from 2006 on a Blogger blog that hasn't been updated since 2012 is not forward thinking in my view. Yes, things don't always change, but the face of analytics changes daily.",Coursera Online Course,Coursera Instructor,neutral,1
125,Fun and useful,Coursera Online Course,Coursera Instructor,neutral,1
126,"I'm several months into this specialization. It seems to practice little of what it preaches in its design and pedagogy. I've paused repeatedly because I find the whole experience needlessly clunky and frustrating, and I rarely feel like I've learned much at the end of the assignments. I often wonder if anyone on the UCSD/Coursera side ever actually tries to complete the assignments. The quiz is missing key links and the questions read as if they were written by someone who's first language is not English. Pretty sloppy effort.",Coursera Online Course,Coursera Instructor,negative,0
127,Kind of slow in the beginning but picked up to the end to give me a challenge,Coursera Online Course,Coursera Instructor,positive,2
128,The first two assignments certainly tested knowledge of the subject however the last two assignmnets were lacking. Good course that does what it is supposed to do. More feedback from test cases would be very helpful.,Coursera Online Course,Coursera Instructor,neutral,1
129,"The course content is good. However, by the review assigment i can see that the concepts were not clear, ther",Coursera Online Course,Coursera Instructor,neutral,1
130,"Sense of humour is off-putting. Tone is unnecessarily childish (""Python is yelling at you""). Key ideas are unmotivated (just trust me, functions are useful!). Includes line of code impossible to understand in earlier videos (e.g. loops appear in earlier weeks). Office hours just seem like professor showing off all the places he goes to. I enjoyed the interviews with people discussing their work or history.",Coursera Online Course,Coursera Instructor,negative,0
131,"The course is not bad, but I felt that it was just a collection of common sense advice.",Coursera Online Course,Coursera Instructor,neutral,1
132,"Easier than expected. Much was common sense, although it was well put together.",Coursera Online Course,Coursera Instructor,neutral,1
133,If only the audio was clearer. Subtitles are also out of sync.,Coursera Online Course,Coursera Instructor,neutral,1
134,The course is ok but I found that there were some technical quirks that could be ironed out first. Example is to download the text files in the final assignment the command wget is invaluable. How to leave safe mode if the Name node is in safe mode. VirtualBox is default to 32 bit/ubuntu when the image is 64 bit/Centos/Redhat.In addition the course content is a bit little. It says 3 weeks but I finish it in 2 days. Perhaps it is about quality and not quantity.,Coursera Online Course,Coursera Instructor,neutral,1
135,This course doesn't help much,Coursera Online Course,Coursera Instructor,negative,0
136,"it has a lot of nice information about the brain and ways of study, but this whole course is a way of procrastinating.I feel like it could have been summed up really much better into written text and finished at a much faster rate.",Coursera Online Course,Coursera Instructor,negative,0
137,"The final lab had an error that took a long time to find a solution for, which was disappointing. For a paid course, you would expect the labs to be better quality tested.",Coursera Online Course,Coursera Instructor,neutral,1
