id,text,course,teacher,label,topics,language,source,source_label
26,"I liked the course very much, it could focus more on teaching metods during the assigments, but still give us a good material, tips and resourses to engage teaching practices.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
27,Great Course. Well paced. Learned a lot !,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
28,Too much time required. The first Quiz had almost nothing covered in the video lectures. I saved all transcripts and was unable to answer the questions. The Sim's... I have never seen anything like that and again - it most certainly wasn't covered in the lectures. Disappointed in this course. It took 3 hours for each segment of the first week... not 3 to 4 as was stated. Leaving this course.,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
29,1-week does not seem enough for a Crash Course,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
30,"Last assignment was *painful*: Poorly described instructions, outcomes/outpu; the grader was opaque and largely mute.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
31,The data document for assignment is a mess.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
32,"Course is a little formulaic, had trouble making my submissions follow the structure outlined but still, I learnt some useful tips and actually got to just write something orderly.Liked some of the visiting speakers (the third speaker who talked about character - mature lady, dark hair) was quite good. So was the first gentleman.Overall, the course is ok but given the strict methodology and requirements for writing, I don't know if I'll make it through the specialisation.Thank you for reading!",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
33,"Great course! The videos are fun, and I received a lot of great feedback from my fellow classmates.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
34,"i generally think the course needs a lot of improvement as after week 1 the assignments and quizzes don't seem to relate to the course content. we are at very different levels so a more gentle easing and explanation of ideas is necessary other than this apparent quantum leap from one stage to the next. i have had to do a different course else where and i am getting the sort of good introduction into the R language, its not practical to expect everyone to understand the ideas in 4 weeks.programming is hard enough as it is.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
35,Mentor review for the final project takes long time to be completed.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
36,"I learned a lot and I'm very happy, Andrew you are awesome thank you so much!",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
37,"Extremely badly organized, messy, and technical",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
38,Should letting us do more programming stuff.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
39,Absolutely Amazing course!!! best on Machine Learning for beginners...,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
40,"Shame on you University of Houston SystemI did the first three lessons, which are less than average, then went on to quiz 1, after completion, a window appeared to ask me for money to get my results! This information should have been provided when I enrolled! I find that very mis leading.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
41,"Rather uninteresting presentation. I found it hard to become interested in the course or Kierkegaard after having high hopes of truly enjoying it. The best parts of the lectures were when the instructor was taped at venues pertinent to the course. The peer reviewers were not always fair, in my opinion. I'd spend my time elsewhere, personally, especially since this course was something for my own personal edification and not a requirement.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
42,"The course content itself was good, however the final assignment was vague and confusing. I think my coursemates had the same problem; all of the submissions I reviewed failed to discuss in any way at least one of the learning objectives.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
43,I found Week 2: Binary Classification really confusing. It was just not clear. Specifics were not given. Definitions were not given. Poorly instructed.,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
44,Nice introductory course and very helpful,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
45,Quiz isn't challenging enough to validate the understanding of the user taking the course .,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
46,"It's a well-taught course, and very interesting too",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
47,"My background is in software development, so I know a thing or two about writing code. I'm about halfway through the course, and I'm really struck by two things:",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
48,This is an excellent course for anyone who wants to be a better learner or help students become better learners!,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
49,It was too easy for me.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
50,Enlightening confluence of evolutionary psychology and Buddhism. I found it particularly helpfully in going further with my meditations and having a deeper understanding of the way it works.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
51,"Tutors reading from a teleprompter comes across as robotic, lifeless and boring. We should be told before we do a piece of work that we can only submit it by upgrading, not afterwards!",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
52,"Very shallow coverage, doesnt have the scope to be an entire Course!",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
53,"I would not recommend this course. The content is very relevant to the subject matter. However, the lectures are much longer than they need to be, and filled with unnecessary commentary. The instructor often verbally discusses the statistical formula with a few bullets on a slide with the focus on himself. The delivery would be much better if the instructor would put himself in the background and the focus be reoriented on a whiteboard style walk-through of the equation at hand.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
54,"since there is a lot of math involved, there should be some carefully written readings. (not only slides or phd thesis)",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
55,I wish the teachers would go more into how to come up with solutions to the functional problems.,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
56,"it has a lot of nice information about the brain and ways of study, but this whole course is a way of procrastinating.I feel like it could have been summed up really much better into written text and finished at a much faster rate.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
57,"A lot of material is presented here which is both good and bad. You will find yourself googling a lot of things as the videos cover certain aspects quite quickly, even some that are important to the assignments.If you have the time to research some of the concepts on your own I say go for it. However, if you don't have much time or you are a complete beginner I would maybe try something else.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
58,very tough to catch up.,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
59,"Compared to the previous courses in this specialization I found this a tough course. Calculating the big-O for yourself wasn't easy. The descriptions of the applications #1 and #2 were not very clear to me at the start (probably because English is not my first language). Some sentences I had to read several times before I understand what was asked. But the things I learned are useful and I am definitely sure that what I have learned here I can use in my work as software engineer. Thank you Luay, Scott and Joe for another excellent course.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
60,Good vibe but way too easy.... even for beginners! I am no beginner but I finished the whole thing in less than an hour.... Not much learned,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
61,"A good foundation course. I believe the information regarding tools and techniques could've been presented in a better manner by working on live files and displaying it. It was monotonous. Apart from the rest, the final course case studies were brilliant and helped us to collaborate our understanding of the course.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
62,"Interesting concepts. The instructor is knowledgeable. As an organizational development practitioners, I found it very academic relative to the terms used and examples given. In some cases, I had to translate the terms used to every day layman language to really understand the concepts as they would apply in my day-to-day work.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
63,"I would give this lecture a three because it is a very independent and useful course, but I feel like the presentation skills could have been improved upon and found the information very dry. I really liked the intent and where she was going.It was easy to follow and complete, although there was something missing for me.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
64,Wonderful primer on how to get thinking creatively about data.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
65,This course seemed a bit spread too thin. Not much real coverage on post-production; mostly just an intro and that was at the expense of more learning on composition.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
66,gives us the corefoundation of starting a career in game design,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
67,"The final lab had an error that took a long time to find a solution for, which was disappointing. For a paid course, you would expect the labs to be better quality tested.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
68,For a beginner like me its totally going over the head. I mean i get the logic but if you guys can please give more code...I am learning data structures for the first time and it is bit difficult for me to grasp it all and write codes in a week...,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
69,"The accent of this teacher made me struggle to comprehend some of the most basic concepts she was presenting. I learned way much more on the previous modules of this specialization.The course should be 2/5 stars, but thanks to Boston and McKenzie articles, I will give an extra one.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
70,Bad one. Most of the time he was only giving what is their in the course Mooc 1 2 3etc etc. Irritated,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
71,"As a manager in an IT consultancy, I can't justify sending my personnel through this course, even at $69 per course. The amount of information gained is very thin and does not move one toward being productive.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
72,"Nice, informative, but basic and short.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
73,"Great Course. Can gain the essential insights in the field of machine learning and lay a great foundation for more sophisticated topics in this area such as deep learning. Professor Ng shares each concept step by step in a really considerate way. It's a very enjoyable experience for me. Before this course, I have no coding experience at all. It is good for beginners and opens a new window for me.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
74,Assignments were just not that challenging except first one,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
75,It's very useful to learn how excel able to handle different mathematical models,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
76,"Would have welcomed more or longer lectures, and more variety in the assignments.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
77,Very good! I want know a qualitative approach.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
78,This course was great and the instructor was very helpful. Peer comments also helped me to improve my techniques throughout the course.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
79,"This course is not about Excel or MYSQL. This is only about Probability distribution, binary classification etc. So, if you're interested in learning some Math, this is a great course for you. But certainly not for learning some basic Excel and MYSQL. I am very disappointed and have lost all my money for nothing. I did not learn what I had initially thought I will. I feel cheated, I have lost both time and money at the same time.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
80,"It's a good course, In the last lesson miss more examples.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
81,Great ideas to improve the technical knowledges to scrapping web data,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
82,"it was a great course, it helped me a lot reviewing my English grammar. I appreciate for everything and I will recommend this course to everyone who wants to write better the English language. Thanks",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
83,Don't recommend.You're better off skimming through the ableton manual and using the search function to get the answers you want.,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
84,"I'll say the same about this class as the rest of the specialization, if you have the skills to complete this course then you don't need to take this course. If you don't have the skills to complete this course, you will not complete this course. The course instruction is at 10000 feet level and the assignments are very challenging and the course will NOT teach you the skills required to complete the assignments.I recommend the Machine Learning Course (from Bill's colleagues) at University of Washington. That is a course where you get some real instruction and understanding of how to complete assignments (though still very challenging).",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
85,"Very basic the first week, good introduction the second and awesome after the third. 3 starts represent the median value",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
86,Great introduction to business. It helped me greatly preparing (without having a business background) for interviews at a large consulting firm.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
87,"A good course, I always know some of these idea in the course, but not systematically, so I tend to ignore them. Now I know that how to learn and those idea works. I am sure this course shall help me out of the mud and haze of thinking.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
88,Kind of slow in the beginning but picked up to the end to give me a challenge,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
89,One of the best coursera courses that I've ever done.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
90,I really liked the combination of an hands-on approach and some in-depth theory.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
91,the speech is too fast to be catch up with and doesn't have much useful contents,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
92,The teacher could be more enthusiastic because sometimes it turned boring.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
93,"Much better Courses are available for free on udacity and edx. this is only a money making course. concepts used are very old. nothing new in this course. One can dwell in PID controllers for life, its a huge are and the way its used here is totally ancient. its just some ancient methods in new quadcopters.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
94,Awesome course. Well presented lectures and good assignments. Looking forward to join more courses by Dr. Chuck,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
95,"Though the course itself is introductory in nature, i wish there was a lecture on what and how exactly are these going to be useful with the help of a real life example and also an increase in the depth of the content.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
96,"The final assignment is impossible to finish since I have 10.4 version in my computer. You, as the course provider, should modify the assignment instead of asking the student to make changes. The point is that we are trying to gain some knowledge, not wasting time on solving those bugs.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
97,"Excellent course with relevant content, good directions and easy to grasp.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
98,"The course was a very efficient intro to using Python to get data from various simple sources and the different structures that can be used to hold and manipulate the data. The course starts with the intuitive methods to solve problems and then introduces more complex and process friendly alternatives to demonstrate how creativity and knowledge of Python can be used to generate elegant and efficient code. The auto-grading of assignments can be a little maddening as the correct answer needs to be formatted precisely as is expected or else it will be counted as incorrect. The good thing here is that it forces you to fully understand the data types and data, the bad is it can be frustrating not knowing if the answer is wrong or just the format of the answer. Admittedly, I feel this effort forced me to become a better Python programmer.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
99,"Very brief , some points are leaved without explanation",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
100,"student needs to read a lot out of this course in order to solve the exercises!the course materials are not enough, and they focus more on images, while this entire course for beginners level, it should be fundamental stuff.overall the course is good but needs more changes",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
101,Great introduction to material science :),Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
102,If only the audio was clearer. Subtitles are also out of sync.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
103,"I enjoyed this course. It's a little easy to pass - great for someone new to Coursera and/or beginning learning, but it's interesting and offers practical real-life tasks.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
104,The pronunciation of the lector was more than awful! His English is quite unsuitable for video lectures! It was just a torture listening to him!,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
105,"Very poor .........Never expected this from COURSERA. The person is just reading the slides, there is no learning action taking place",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
106,"Unsyncronize subtitle with audio. Please fix thisIMO, I think the video must not too long. (below 10 minutes/video), so lecturer separated it to more segment. And give pop-up quiz in video",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
107,The app is neat but too short.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
108,Nice course to learn data science.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
109,Very easy to follow yet imparts a deep understanding of the subject.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
110,"Hands down, one of the best courses I've ever taken. Exciting, informative and motivating teaching style!",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
111,"Excellent material, even though students met several problems with the new Coursera platform. I highly recommend this course.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
112,"The course content is good. However, by the review assigment i can see that the concepts were not clear, ther",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
113,"Interesting learning course. You need to stick to follow the videos (may seem a tedious by moment). Overall, a good average course.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
114,Basic course with videos running too fast......,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
115,Staff are incredibly arrogant bordering on aggressive. The very worst of the pontificating profession - and what we long term learners and educators know to be all too common. I couldn't stand it so I stopped. Would never recommend.,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
116,well organized but need more assignments and practical assignments,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
117,the equations/math could have been delivered in a much better way,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
118,WoW awful presentation but great instructor. I expected much more than this but :(Leveraging employer brand is not compelete :\,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
119,"A solid course, let down by quality issues in the last two modules. I hope these are fixed soon because it would make this a top notch course...",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
120,"In my opinion, this course was way too theoretical. I wish we had more examples and practical exercises. After four courses in a row I was expecting much more skills rather than theoretical discussions all the way long.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
121,I found the lessons on cultural aspects were very interesting and well instructed.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
122,its all reading no lectures..was boring,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
123,This Course provides a solid footing in the know-how and application of Macroeconomics Principles in simple and difficult situations. I would recommend this course for anyone who is concerned about the implications their business decisions can make on their reality.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
124,Very good course for introduction to ML. Must have.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
125,There is practically nothing in this course to learn. It can be termed as a introduction to the specialization,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
126,"The instructer is not fluid, a ""mentor"" is devoid of critical thinking in communicating through the discussions section, the peers are reviewing haphazardly while ""mentors"" offer their own essays (from the past?) where they use material outside of the course readings which may sound plagiarizing after that long warning in each introductory section for writing assignements.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
127,I am dropping this course. don't e-mail any more for this course. How do I unroll in this course.,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
128,"As a guest writer for over 2 years and writing 70+ articles, with no prior formal training, I found this to be very refreshing to understand key concepts of journalism, especially on fairness, accuracy to promote credibility.This is a good course for those who not only beginners but people who written before and want to hone their values and concepts in journalism.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
129,Thank you for this course! It was very engaging. The instructor's explanations were clear and the demonstrations were excellent.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
130,The lectures tend to be a bit boring. However the hands on assignments give great insight into understanding the basic concepts of game design and narration.,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
131,This is a great source for new ideas in how to built fine products.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
132,It's way to easy to be a separate course. It should be part of R Programming.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
133,"Great course, very hands-on approach to learning.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
134,"Pretty Simple stuff - but would've been better if there was actually something we worked on in a group, or an actual project to 'plan' or gantt chart to create.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
135,Instructors are amazing and the course is not overwhelming at all.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
136,The assignments were not very challenging nor were the lectures very in depth.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
137,I did not find this helpful for a complete beginner. I will try an alternative course!,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
138,This was an excellent class taught by a wonderful professor. Professor Adams needs to do a follow-up to this class in the future that expands on subjects taught.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
139,Definitely Not for young new front end learners .Lots of things difficult to understand.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
140,"Very well conducted for a beginner, but some lectures seems too long to convey a simple concept.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
141,"This is a really weak, and not very smart course compared to the other two in this specialisation (strategy formulation & strategy implementation)",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
142,"Very nice introduction to the topic. I wish it had more ""meat"" and more exercises to develop the skills presented during the class.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
143,"Very useful course! But it is not challenging enough. My advice: more challenging assignments to be given, and do not give too many detailed steps or instructions in the assignments. Let students themselves to solve the algorithms. Overall, this course is very useful and I like the lectures of Robert the most! His logic is extremely well explained.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
144,"This course needs major improvement. Lectures included errors in the code. While showing code in video lectures instructor was quick to delete code, not giving time for students to view and understand what had just been shown.On Dec 15, two weeks before due date of final project, large portions of all weeks of the course were changed, requiring going back through to complete these new lectures. No adjustment was made to the due date.Requirements for the final project are vague and confusing and I am not able to submit the final project by the due date in about 2 hours. If this issue is not addressed I will need to consider adjusting my star rating.This experience casts a negative impression for me on the Coursera platform and University of Toronto teaching staff.I'm disappointed.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
145,"A good introduction to design of more complex Scala programs in a functional manner.Left a few things to be desired some places, such as: less legacy from the previous ""reactive programming in scala"" course; a discussion of immutable options for functional reactive programming; and a demonstration of an implicits-based implementation of Functional Reactive Programming, as was mentioned.For the most part a great course though.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
146,The coarse precisely and concisely says everything about basic epidemiology.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
147,It is no that perfect.The instructor focus on explaining what the code do instead of implementing it in the same video.I think the only downside is that he prepare his code and we can't implement the code at the same time because it is already given,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
148,Learning how to learn has never been easier and more fun! This course is an invaluable aid to learn ANYTHING. It provides 'know-how' and confidence in your ability to master any subject matter. The techniques provided to deal with procrastination have significantly impacted my life. I am grateful to Coursera and to instructors Terrence Sejnowsi and especially Barbara Oakley for making learning such a pleasure. Thank you!,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
149,"All in all the material, videos and assignments were very interesting and they made up an exciting course.However, some of the slides lacked sufficient information on notions or did not make references to supplementary sources. The assignment material (mainly pdfs) sometimes had typos which made solving them a bit confusing and more time consuming without actually being very difficult. Also for both slides and assignments the notations were not always consistent and/or variables disappeared from equations without clear explanations.I hope in the next offering of this course there will be improvements on these aspects.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
150,"I would like to study this course. So, It is giving me more knowledge.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
151,"I have followed 2 courses at the same time: this one and ""HTML, CSS and Javascript"". They are covering the similar topics but this class has fallen short on most of the subject.Lecture time is very little. Short videos, and few of them. Each video is mostly non-focused talking, very few examples and so you don't learn much.By comparison, the other class has a lot of videos, each video is much longer and goes into many examples. Time is spent on focusing on the things to learn, and you get a lot out of it.I am dropping out of this specialization and will follow the other one which I hope will bring good content (unfortunately the following classes are not from the same teacher but from the same university). The following classes from this specialization are from the same teacher, so I don't think things will improve much.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
